 , 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 3, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 4, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 5, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 6, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 7, 8, 9, 
1, 236.0, 802.0, 5.0, 382.0, 888.0, 41.0, 171.0, 23.0, 32.0, 190.0, 30.0, 274.0, 800.0, 38.0, 41.0, 17.0, 3.0, 48.0, 19.0, 15.0, 29.0, 41.0, 105.0, 312.0, 4.0, 24.0, 15.0, 5.0, 18.0, 73.0, 37.0, 270.0, 4.0, 20.0, 14.0, 114.0, 66.0, 31.0, 41.0, 1.0, 15.0, 15.0, 41.0, 10.0, 4.0, 15.0, 35.0, 6.0, 41.0, 41.0, 6.0, 4.0, 156.0, 17.0, 41.0, 31.0, 366.0, 37.0, 85.0, 10.0, 17.0, 23.0, 15.0, 8.0, 958.0, 57.0, 3.0, 
2, 26.0, 8.0, 36.0, 25.0, 25.0, 25.0, 56.0, 8.0, 11.0, 2.0, 40.0, 25.0, 1.0, 297.0, 4.0, 16.0, 15.0, 30.0, 4.0, 33.0, 27.0, 27.0, 27.0, 318.0, 10.0, 12.0, 9.0, 25.0, 19.0, 16.0, 5.0, 83.0, 41.0, 36.0, 25.0, 4.0, 38.0, 10.0, 11.0, 16.0, 8.0, 5.0, 41.0, 2.0, 1.0, 3.0, 12.0, 14.0, 30.0, 23.0, 4.0, 20.0, 80.0, 20.0, 19.0, 9.0, 34.0, 12.0, 214.0, 17.0, 26.0, 38.0, 23.0, 254.0, 39.0, 84.0, 54.0, 
3, 19.0, 8.0, 46.0, 24.0, 9.0, 24.0, 56.0, 15.0, 41.0, 4.0, 20.0, 15.0, 2.0, 21.0, 14.0, 8.0, 16.0, 0.0, 6.0, 32.0, 10.0, 20.0, 16.0, 35.0, 6.0, 19.0, 1.0, 29.0, 15.0, 21.0, 4.0, 84.0, 40.0, 17.0, 22.0, 31.0, 16.0, 5.0, 10.0, 11.0, 14.0, 7.0, 27.0, 4.0, 5.0, 2.0, 3.0, 4.0, 27.0, 12.0, 15.0, 22.0, 32.0, 36.0, 2.0, 1.0, 7.0, 8.0, 24.0, 13.0, 13.0, 14.0, 24.0, 7.0, 30.0, 83.0, 60.0, 
4, 6.0, 1.0, 45.0, 27.0, 6.0, 35.0, 233.0, 12.0, 15.0, 14.0, 35.0, 13.0, 1.0, 20.0, 25.0, 7.0, 18.0, 10.0, 5.0, 20.0, 914.0, 14.0, 13.0, 34.0, 21.0, 12.0, 1.0, 27.0, 19.0, 19.0, 4.0, 301.0, 43.0, 14.0, 20.0, 25.0, 13.0, 8.0, 9.0, 13.0, 21.0, 12.0, 6.0, 7.0, 1.0, 8.0, 3.0, 1.0, 5.0, 8.0, 9.0, 16.0, 44.0, 42.0, 21.0, 0.0, 19.0, 7.0, 4.0, 4.0, 8.0, 5.0, 14.0, 5.0, 30.0, 307.0, 37.0, 
5, 4.0, 13.0, 33.0, 19.0, 1.0, 22.0, 36.0, 5.0, 28.0, 15.0, 6.0, 13.0, 9.0, 8.0, 21.0, 3.0, 15.0, 16.0, 3.0, 21.0, 767.0, 2.0, 3.0, 27.0, 4.0, 14.0, 4.0, 23.0, 15.0, 4.0, 4.0, 15.0, 36.0, 4.0, 8.0, 23.0, 5.0, 11.0, 6.0, 7.0, 8.0, 9.0, 84.0, 8.0, 2.0, 9.0, 12.0, 3.0, 1.0, 8.0, 9.0, 11.0, 14.0, 103.0, 15.0, 1.0, 8.0, 4.0, 24.0, 1.0, 11.0, 6.0, 13.0, 5.0, 30.0, 38.0, 36.0, 
6, 4.0, 23.0, 61.0, 24.0, 3.0, 0.0, 4.0, 11.0, 11.0, 0.0, 4.0, 7.0, 13.0, 11.0, 30.0, 3.0, 23.0, 19.0, 13.0, 24.0, 726.0, 5.0, 1.0, 2.0, 6.0, 14.0, 1.0, 19.0, 6.0, 4.0, 5.0, 57.0, 13.0, 3.0, 0.0, 23.0, 5.0, 3.0, 5.0, 4.0, 13.0, 8.0, 6.0, 9.0, 2.0, 17.0, 14.0, 4.0, 4.0, 0.0, 9.0, 15.0, 21.0, 123.0, 8.0, 3.0, 7.0, 3.0, 1.0, 0.0, 9.0, 6.0, 0.0, 4.0, 29.0, 80.0, 15.0, 
7, 3.0, 3.0, 34.0, 16.0, 4.0, 11.0, 15.0, 11.0, 0.0, 13.0, 3.0, 8.0, 2.0, 21.0, 42.0, 2.0, 14.0, 21.0, 16.0, 13.0, 19.0, 6.0, 12.0, 12.0, 10.0, 14.0, 2.0, 18.0, 17.0, 4.0, 4.0, 39.0, 8.0, 0.0, 0.0, 20.0, 1.0, 3.0, 5.0, 13.0, 19.0, 3.0, 16.0, 6.0, 2.0, 11.0, 11.0, 8.0, 4.0, 3.0, 13.0, 11.0, 13.0, 42.0, 8.0, 5.0, 1.0, 1.0, 1.0, 2.0, 6.0, 6.0, 1.0, 4.0, 30.0, 40.0, 1.0, 
8, 2.0, 8.0, 31.0, 16.0, 1.0, 0.0, 5.0, 4.0, 17.0, 0.0, 8.0, 10.0, 8.0, 10.0, 21.0, 2.0, 14.0, 19.0, 14.0, 16.0, 21.0, 6.0, 11.0, 13.0, 10.0, 9.0, 0.0, 22.0, 17.0, 0.0, 1.0, 57.0, 13.0, 5.0, 1.0, 19.0, 3.0, 8.0, 5.0, 13.0, 15.0, 2.0, 4.0, 3.0, 2.0, 12.0, 13.0, 9.0, 0.0, 3.0, 15.0, 15.0, 13.0, 42.0, 12.0, 8.0, 1.0, 0.0, 4.0, 2.0, 3.0, 5.0, 0.0, 4.0, 30.0, 40.0, 26.0, 
9, 8.0, 3.0, 42.0, 15.0, 8.0, 2.0, 0.0, 12.0, 17.0, 6.0, 12.0, 11.0, 3.0, 11.0, 26.0, 0.0, 9.0, 19.0, 5.0, 11.0, 31.0, 4.0, 13.0, 14.0, 10.0, 5.0, 6.0, 19.0, 9.0, 5.0, 2.0, 57.0, 19.0, 11.0, 3.0, 19.0, 4.0, 7.0, 4.0, 17.0, 17.0, 4.0, 5.0, 1.0, 1.0, 11.0, 13.0, 4.0, 0.0, 3.0, 18.0, 13.0, 7.0, 63.0, 10.0, 8.0, 1.0, 3.0, 0.0, 0.0, 1.0, 8.0, 4.0, 4.0, 33.0, 57.0, 24.0, 
